115,,
A11,C7,125
A15,A11,122
A4,B16,68
A6,B10,99
A7,B12,74
A9,B8,44
B1,D14,63
B14,D16,32
B16,C10,56
B16,C5,74
B6,C12,56
C10,B1,54
C10,C2,86
C12,A4,53
C14,A14,96
C14,A15,108
C14,A2,72
C14,A4,90
C15,D12,62
C2,E2,75
C5,C15,43
C5,C3,129
C7,C3,92
C7,E11,125
C8,A6,53
C8,A7,84
C8,A9,114
D1,B14,71
D1,C1,73
D10,D5,110
D10,D8,122
D12,E11,44
D14,E14,44
D16,E14,44
D4,B6,59
D5,E6,44
D8,E8,56
E1,B14,70
E11,D10,42
E14,E9,43
E15,C12,53
E2,E15,30
E3,D1,29
E6,D4,42
E6,E3,43
E8,C14,115
E9,D5,97
E9,D8,109
